CCCCCCCC(=O)CCc1cc(c(cc1)O)OC	6-Paradol
CCCCCC(CC(=O)CCc1cc(c(cc1)O)OC)O	6-Gingerol
CCCCCC=CC(=O)CCc1cc(c(cc1)O)OC	6-Shogaol
CC(=CCCC(=C)C=C)C	Myrcene
CC(=CCCC(C)(C=C)O)C	Linalool
CCCCCC(=O)CC(=O)CCc1cc(c(cc1)O)OC	[6]-Gingerdione
CC1=CC=C(CC1)C(C)CC(=O)C=C(C)C	Tumerone
Cc1ccc(cc1)C(C)CCC=C(C)C	Curcumene
CC1=CCC(=C(C)C)C(=O)CC(=CCC1)C	Germacrone
CC1(C2CCC(O1)(CC2)C)C	1,8-Cineole
CC(=CCCC(C)(C=C)OC(=O)C)C	Linalyl acetate
CC1(C2CCC(C2)C1=C)C	Camphene
CC(=CCCC(=CCO)C)C	Geraniol
COC(=O)C=Cc1ccccc1	Methyl cinnamate
CC1=CCC(=C(C)C)CC1	Terpinolene
CC(C)C12CCC(=C)C1C2	Sabinene
CC1=CCCC(=CCC2(CCC(O2)(C(CC1)OC(=O)C)C)C(C)C)C	Incensole acetate
CCCCCCCCOC(=O)C	Octyl acetate
Cc1c2-c(c(c(c2)O)C)cc(cc1)C(C)C	7-Isopropyl-1,4-dimethyl-2-azulenol
CCC1(Cc2c(CC1C(=C)C)c(co2)C)C	Curzerene
CC1=CCCC(=CCC(=C(C)C)CC1)C	Germacrene B
CC1CCC=C2C1(CC(CC2)C(=C)C)C	Eremophilene
CC(C)CCCC(C)CCCC(C)CCCC(=CCOC(=O)C)C	Phytyl acetate
CCCCC1c2ccccc2C(=O)O1	3-Butylphthalide
CC1CCCC2(C31CC(CC2)C(O3)(C)C)C	Dihydroagarofuran
CC1CCC2C1CC1CCC2(OC1(C)C)C	Kessane
CC=Cc1ccc(cc1)OC	Trans-anethole
COc1ccc(cc1)CC=C	Estragole
CC1(C2CCC(C2)(C1=O)C)C	Fenchone
CC1=CCC(CC1)C(=C)C	Limonene
COc1cc(cc2c1OCO2)CC=C	Myristicin
C=CCc1cc2c(cc1)OCO2	Safrole
CC=Cc1ccc(cc1)OC	Anethole
c1c(cc(c(c1O)O)O)c1c(c(=O)c2c(cc(cc2o1)O)O)O	Myricetin
COc1c(ccc(c1)c1c(c(=O)c2c(cc(cc2o1)O)O)O)O	Isorhamnetin
